Cost_5graus,Revisit_time_5graus,Cost_10graus,Revisit_time_10graus,Cost_15graus,Revisit_time_15graus,Cost_20graus,Revisit_time_20graus,Cost_25graus,Revisit_time_25graus,Cost_30graus,Revisit_time_30graus,Cost_150graus,Revisit_time_150graus,Cost_155graus,Revisit_time_155graus,Cost_160graus,Revisit_time_160graus,Cost_165graus,Revisit_time_165graus,Cost_170graus,Revisit_time_170graus,Cost_175graus,Revisit_time_175graus
396.85870351816976,6.3072e6,396.85870351816976,6.3072e6,396.85870351816976,116140.0,396.85870351816976,89393.42857142858,396.85870351816976,137001.08695652173,396.85870351816976,169606.85714285716,396.85870351816976,174123.8888888889,396.85870351816976,122642.35294117648,396.85870351816976,98112.8125,396.85870351816976,90872.0588235294,396.85870351816976,6.3072e6,396.85870351816976,6.3072e6
358.0136040889609,6.3072e6,358.0136040889609,6.3072e6,358.0136040889609,91465.37313432837,358.0136040889609,70757.52808988764,358.0136040889609,111110.56603773584,358.0136040889609,151998.53658536586,358.0136040889609,143031.81818181818,358.0136040889609,118558.67924528301,358.0136040889609,75625.6626506024,358.0136040889609,92029.0909090909,358.0136040889609,6.3072e6,358.0136040889609,6.3072e6
326.80142482100376,6.3072e6,326.80142482100376,6.3072e6,326.80142482100376,87420.83333333334,326.80142482100376,63544.24242424242,326.80142482100376,90850.29850746269,326.80142482100376,113533.01886792453,326.80142482100376,157103.0,326.80142482100376,101606.0,326.80142482100376,73884.0,326.80142482100376,70536.62921348315,326.80142482100376,6.3072e6,326.80142482100376,6.3072e6
301.9118848333551,6.3072e6,301.9118848333551,6.3072e6,301.9118848333551,64414.22680412371,301.9118848333551,72285.5172413793,301.9118848333551,117579.05660377358,301.9118848333551,106359.8275862069,301.9118848333551,133515.8695652174,301.9118848333551,101276.45161290321,301.9118848333551,71450.22727272726,301.9118848333551,65595.52083333333,301.9118848333551,6.3072e6,301.9118848333551,6.3072e6
282.2602132915572,6.3072e6,282.2602132915572,6.3072e6,282.2602132915572,57078.090909090904,282.2602132915572,57831.77570093458,282.2602132915572,84155.67567567568,282.2602132915572,119391.34615384616,282.2602132915572,96941.53846153845,282.2602132915572,104705.0,282.2602132915572,64023.97959183673,282.2602132915572,62326.63366336634,282.2602132915572,6.3072e6,282.2602132915572,6.3072e6
266.82734476522984,6.3072e6,266.82734476522984,6.3072e6,266.82734476522984,59663.846153846156,266.82734476522984,47361.428571428565,266.82734476522984,95233.18181818182,266.82734476522984,97016.76923076922,266.82734476522984,110346.14035087719,266.82734476522984,93525.9375,266.82734476522984,56156.071428571435,266.82734476522984,53765.65217391304,266.82734476522984,6.3072e6,266.82734476522984,6.3072e6
255.0266898737464,6.3072e6,255.0266898737464,6.3072e6,255.0266898737464,47361.43939393939,255.0266898737464,50756.50406504065,255.0266898737464,86750.27777777778,255.0266898737464,106534.57627118644,255.0266898737464,107046.20689655172,255.0266898737464,84405.94594594595,255.0266898737464,54670.17391304348,255.0266898737464,53799.56896551724,255.0266898737464,6.3072e6,255.0266898737464,6.3072e6
246.230159470719,6.3072e6,246.230159470719,6.3072e6,246.230159470719,54770.789473684206,246.230159470719,50495.40322580645,246.230159470719,76662.91139240506,246.230159470719,99758.73015873016,246.230159470719,96452.5,246.230159470719,67003.6170212766,246.230159470719,47127.218045112786,246.230159470719,49290.63492063492,246.230159470719,6.3072e6,246.230159470719,6.3072e6
239.91791159235765,6.3072e6,239.91791159235765,6.3072e6,239.91791159235765,43009.04109589041,239.91791159235765,40302.88461538462,239.91791159235765,70729.43181818182,239.91791159235765,103487.96610169491,239.91791159235765,87151.94444444445,239.91791159235765,77727.53086419753,239.91791159235765,49859.840000000004,239.91791159235765,43989.65034965034,239.91791159235765,6.3072e6,239.91791159235765,6.3072e6
235.65986835594305,6.3072e6,235.65986835594305,6.3072e6,235.65986835594305,39979.80891719745,235.65986835594305,52421.75,235.65986835594305,79976.92307692308,235.65986835594305,97401.71875,235.65986835594305,112008.39285714287,235.65986835594305,67729.03225806452,235.65986835594305,48009.77099236641,235.65986835594305,42539.1095890411,235.65986835594305,6.3072e6,235.65986835594305,6.3072e6
